Date,Open,High,Low,Close,Adj Close,Volume
2017-10-31,163.000000,163.000000,162.750000,162.500000,162.500000,3817
2017-11-01,162.750000,162.979996,162.500000,162.500000,162.500000,20036
2017-11-02,162.500000,162.500000,162.500000,162.500000,162.500000,0
2017-11-03,162.949997,162.949997,162.149994,162.500000,162.500000,12463
2017-11-06,162.949997,162.949997,162.949997,162.500000,162.500000,2457
2017-11-07,162.960007,162.960007,162.960007,162.500000,162.500000,500
2017-11-08,162.949997,162.949997,162.949997,162.500000,162.500000,3384
2017-11-09,162.500000,162.500000,162.500000,162.500000,162.500000,0
2017-11-10,163.000000,163.000000,162.960007,162.500000,162.500000,5201
2017-11-13,162.960007,163.000000,162.960007,162.500000,162.500000,4800
2017-11-14,162.979996,162.979996,162.979996,162.500000,162.500000,614
2017-11-15,163.000000,163.000000,163.000000,162.500000,162.500000,4572
2017-11-16,168.000000,168.000000,168.000000,162.500000,162.500000,4000
2017-11-17,163.000000,163.000000,163.000000,162.500000,162.500000,342
2017-11-20,162.500000,162.500000,162.500000,162.500000,162.500000,0
2017-11-21,162.500000,162.500000,162.500000,162.500000,162.500000,0
2017-11-22,162.500000,162.500000,162.500000,162.500000,162.500000,0
2017-11-23,162.500000,162.500000,162.500000,162.500000,162.500000,0
2017-11-24,162.500000,162.500000,162.500000,162.500000,162.500000,0
2017-11-27,162.500000,162.500000,162.500000,162.500000,162.500000,0
2017-11-28,163.000000,163.000000,163.000000,162.500000,162.500000,114
2017-11-29,163.000000,163.000000,163.000000,162.500000,162.500000,5000
2017-11-30,163.000000,164.000000,162.259995,165.000000,165.000000,3176
2017-12-01,165.000000,165.000000,165.000000,165.000000,165.000000,0
2017-12-04,165.000000,165.000000,165.000000,165.000000,165.000000,0
2017-12-05,165.000000,165.000000,165.000000,165.000000,165.000000,0
2017-12-06,165.100006,168.000000,165.100006,165.000000,165.000000,14604
2017-12-07,165.000000,168.000000,165.100006,165.000000,165.000000,0
2017-12-08,165.000000,168.000000,165.100006,165.000000,165.000000,0
2017-12-11,165.300003,168.000000,165.300003,165.250000,165.250000,4323
2017-12-12,165.600006,168.000000,165.600006,165.250000,165.250000,9000
2017-12-13,165.600006,165.600006,165.600006,165.600006,165.600006,1210
2017-12-14,165.250000,165.699997,165.600006,165.250000,165.250000,22250
2017-12-15,165.250000,165.250000,165.250000,165.250000,165.250000,0
2017-12-18,165.710007,165.774994,165.710007,165.250000,165.250000,15000
2017-12-19,168.000000,168.000000,165.809998,165.250000,165.250000,10345
2017-12-20,165.250000,165.250000,165.250000,165.250000,165.250000,0
2017-12-21,165.850006,165.850006,165.850006,165.250000,165.250000,10000
2017-12-22,168.000000,168.000000,168.000000,165.250000,165.250000,88
2017-12-27,165.250000,165.250000,165.250000,165.250000,165.250000,0
2017-12-28,165.250000,165.250000,165.250000,165.250000,165.250000,0
2017-12-29,165.880005,168.000000,165.880005,165.250000,165.250000,2520
2018-01-02,168.000000,168.000000,168.000000,165.000000,165.000000,1000
2018-01-03,165.000000,165.000000,165.000000,165.000000,165.000000,0
2018-01-04,165.000000,165.000000,165.000000,164.500000,164.500000,2379
2018-01-05,163.279999,163.279999,163.279999,164.500000,164.500000,100
2018-01-08,166.000000,166.000000,165.100006,165.000000,165.000000,1945
2018-01-09,167.000000,167.000000,167.000000,165.000000,165.000000,171
2018-01-10,165.300003,165.300003,165.300003,165.000000,165.000000,3304
2018-01-11,165.300003,168.000000,165.300003,165.500000,165.500000,3000
2018-01-12,165.500000,165.500000,165.500000,165.500000,165.500000,0
2018-01-15,165.500000,165.500000,165.500000,165.500000,165.500000,5000
2018-01-16,167.300003,168.000000,167.000000,167.000000,167.000000,10282
2018-01-17,167.000000,167.000000,167.000000,167.000000,167.000000,0
2018-01-18,167.000000,167.000000,167.000000,167.000000,167.000000,0
2018-01-19,166.750000,169.199997,166.750000,167.500000,167.500000,3034
2018-01-22,166.770004,169.199997,166.750000,167.500000,167.500000,14400
2018-01-23,166.750000,166.750000,166.750000,167.500000,167.500000,10
2018-01-24,169.000000,169.000000,165.800003,167.000000,167.000000,8424
2018-01-25,165.199997,165.199997,165.199997,167.000000,167.000000,620
2018-01-26,165.199997,165.199997,165.199997,167.000000,167.000000,21
2018-01-29,165.199997,168.100006,165.199997,167.000000,167.000000,1692
2018-01-30,167.000000,167.000000,167.000000,167.000000,167.000000,0
2018-01-31,167.500000,167.500000,165.149994,166.500000,166.500000,2793
2018-02-01,165.149994,166.600006,165.000000,166.000000,166.000000,4206
2018-02-02,166.050003,166.050003,165.020004,166.000000,166.000000,18576
2018-02-05,166.000000,166.000000,166.000000,166.000000,166.000000,0
2018-02-06,161.050003,162.949997,158.000000,161.000000,161.000000,26461
2018-02-07,162.880005,162.949997,158.330002,161.000000,161.000000,15061
2018-02-08,161.000000,161.000000,161.000000,161.000000,161.000000,0
2018-02-09,162.850006,162.850006,162.800003,161.000000,161.000000,3293
2018-02-12,162.800003,162.800003,162.789993,161.000000,161.000000,2211
2018-02-13,162.500000,162.500000,159.500000,161.000000,161.000000,1240
2018-02-14,162.500000,162.500000,159.500000,161.000000,161.000000,2023
2018-02-15,159.500000,159.500000,159.500000,161.000000,161.000000,527
2018-02-16,161.000000,161.000000,161.000000,161.000000,161.000000,0
2018-02-19,162.500000,162.500000,162.500000,161.000000,161.000000,915
2018-02-20,159.509995,159.509995,159.509995,161.000000,161.000000,3493
2018-02-21,161.000000,161.000000,161.000000,161.000000,161.000000,0
2018-02-22,162.500000,162.500000,161.300003,161.000000,161.000000,2152
2018-02-23,162.490005,162.490005,158.000000,161.000000,161.000000,7248
2018-02-26,162.500000,162.500000,162.500000,161.000000,161.000000,12238
2018-02-27,162.490005,162.490005,160.000000,161.500000,161.500000,14238
2018-02-28,161.750000,162.399994,161.750000,161.500000,161.500000,475
2018-03-01,160.000000,162.399994,160.000000,161.500000,161.500000,15444
2018-03-02,161.750000,161.750000,161.750000,161.500000,161.500000,3500
2018-03-05,162.449997,162.449997,161.250000,161.500000,161.500000,362
2018-03-06,162.419998,162.419998,162.330002,161.500000,161.500000,1617
2018-03-07,162.279999,162.279999,162.279999,161.500000,161.500000,610
2018-03-08,161.699997,161.699997,159.000000,162.000000,162.000000,15000
2018-03-09,159.000000,159.000000,152.000000,153.500000,153.500000,11000
