Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,270.649994,274.799988,270.549988,273.750000,273.750000,15357260
2017-10-24,273.799988,274.600006,271.100006,272.549988,272.549988,14074280
2017-10-25,271.899994,273.000000,264.157990,265.049988,265.049988,25991514
2017-10-26,264.600006,267.000000,261.399994,264.950012,264.950012,19267608
2017-10-27,265.700012,267.049988,262.750000,263.000000,263.000000,14064503
2017-10-30,262.149994,263.649994,260.000000,262.100006,262.100006,17460008
2017-10-31,262.450012,262.809998,260.299988,260.299988,260.299988,16300912
2017-11-01,263.549988,263.549988,260.149994,260.500000,260.500000,22558344
2017-11-02,267.000000,267.799988,249.399994,253.600006,253.600006,42168784
2017-11-03,253.699997,255.522995,247.990997,249.800003,249.800003,23250312
2017-11-06,248.850006,252.600006,246.600006,252.300003,252.300003,22683513
2017-11-07,252.050003,252.899994,247.800003,248.500000,248.500000,20397401
2017-11-08,248.550003,251.250000,247.000000,251.149994,251.149994,26267947
2017-11-09,251.199997,251.699997,246.550003,249.000000,249.000000,23337347
2017-11-10,250.649994,250.850006,245.750000,247.750000,247.750000,16798200
2017-11-13,248.600006,249.250000,244.000000,244.449997,244.449997,17013893
2017-11-14,246.050003,246.985001,242.889999,243.750000,243.750000,21417707
2017-11-15,244.699997,250.149994,244.500000,247.149994,247.149994,32520155
2017-11-16,247.800003,248.149994,242.699997,244.850006,244.850006,23080406
2017-11-17,245.149994,247.649994,244.216003,245.399994,245.399994,18319933
2017-11-20,243.250000,247.000000,242.750000,245.800003,245.800003,14919891
2017-11-21,246.350006,246.399994,243.149994,245.500000,245.500000,21718535
2017-11-22,245.250000,251.750000,244.050003,249.699997,249.699997,26798000
2017-11-23,250.250000,250.250000,247.050003,249.000000,249.000000,15724771
2017-11-24,249.100006,249.100006,244.750000,246.449997,246.449997,13361151
2017-11-27,246.649994,248.949997,245.199997,246.250000,246.250000,11854746
2017-11-28,246.199997,249.600006,245.649994,249.000000,249.000000,31191246
2017-11-29,250.000000,256.950012,249.300003,255.399994,255.399994,36466440
2017-11-30,256.450012,261.649994,252.399994,260.799988,260.799988,47829537
2017-12-01,261.000000,261.149994,255.800003,257.100006,257.100006,23273343
2017-12-04,259.000000,259.750000,256.899994,258.200012,258.200012,28330888
2017-12-05,259.049988,260.100006,256.750000,258.100006,258.100006,13884418
2017-12-06,257.649994,258.850006,255.449997,257.200012,257.200012,11334917
2017-12-07,256.450012,265.049988,255.649994,262.750000,262.750000,24708305
2017-12-08,263.250000,270.299988,262.299988,268.000000,268.000000,24853991
2017-12-11,267.350006,269.549988,265.450012,268.750000,268.750000,31113240
2017-12-12,269.750000,272.100006,267.899994,269.700012,269.700012,26992847
2017-12-13,269.850006,271.149994,267.750000,268.231995,268.231995,21666111
2017-12-14,275.000000,276.149994,271.750000,273.850006,273.850006,36065399
2017-12-15,276.049988,278.399994,274.399994,277.549988,277.549988,35099600
2017-12-18,277.700012,278.299988,273.899994,275.350006,275.350006,15645656
2017-12-19,276.450012,277.000000,272.600006,273.750000,273.750000,16148742
2017-12-20,272.200012,272.950012,267.799988,270.149994,270.149994,24757981
2017-12-21,269.350006,274.299988,268.100006,274.000000,274.000000,16235553
2017-12-22,272.799988,274.850006,271.700012,274.100006,274.100006,17531407
2017-12-27,274.500000,274.899994,270.600006,274.250000,274.250000,20959605
2017-12-28,270.149994,270.700012,266.299988,267.350006,267.350006,12575854
2017-12-29,266.549988,271.850006,265.850006,271.700012,271.700012,7160147
2018-01-02,276.899994,278.500000,272.950012,275.000000,275.000000,18649145
2018-01-03,275.850006,275.950012,271.950012,272.399994,272.399994,13680709
2018-01-04,272.799988,273.750000,267.649994,269.049988,269.049988,17449455
2018-01-05,267.950012,271.000000,267.399994,271.000000,271.000000,13083176
2018-01-08,271.000000,272.850006,267.549988,267.950012,267.950012,18079015
2018-01-09,269.100006,273.850006,268.600006,273.600006,273.600006,23700104
2018-01-10,273.000000,274.350006,270.799988,272.799988,272.799988,20049606
2018-01-11,273.450012,273.600006,268.350006,270.850006,270.850006,22232311
2018-01-12,272.149994,276.149994,271.649994,274.899994,274.899994,33663517
2018-01-15,274.250000,278.149994,273.500000,275.700012,275.700012,17026986
2018-01-16,277.250000,277.399994,272.850006,274.000000,274.000000,18832254
2018-01-17,274.000000,274.450012,268.350006,269.000000,269.000000,15082565
2018-01-18,268.100006,268.649994,263.750000,267.000000,267.000000,17842933
2018-01-19,267.500000,268.250000,261.600006,264.100006,264.100006,34476101
2018-01-22,264.149994,272.049988,264.149994,266.299988,266.299988,32211613
2018-01-23,268.200012,268.549988,264.700012,265.850006,265.850006,17701150
2018-01-24,265.750000,266.049988,261.399994,261.399994,261.399994,19038799
2018-01-25,261.250000,264.700012,260.549988,260.549988,260.549988,24500047
2018-01-26,261.149994,264.200012,260.799988,262.899994,262.899994,26322778
2018-01-29,262.950012,262.950012,259.350006,260.250000,260.250000,19458792
2018-01-30,259.149994,260.049988,257.250000,257.500000,257.500000,21908324
2018-01-31,259.500000,259.799988,254.699997,255.449997,255.449997,25696790
2018-02-01,262.399994,262.700012,255.050003,256.000000,256.000000,29003700
2018-02-02,255.000000,256.350006,240.050003,250.350006,250.350006,83939067
2018-02-05,249.000000,250.149994,246.899994,246.899994,246.899994,42167605
2018-02-06,241.250000,243.750000,238.199997,239.000000,239.000000,44189349
2018-02-07,239.850006,243.350006,238.100006,241.300003,241.300003,30193322
2018-02-08,238.750000,239.199997,235.149994,235.500000,235.500000,38380217
2018-02-09,235.500000,235.550003,230.199997,230.949997,230.949997,28011271
2018-02-12,231.000000,233.500000,229.600006,230.399994,230.399994,26390694
2018-02-13,231.000000,231.000000,225.850006,225.850006,225.850006,36697634
2018-02-14,230.000000,231.199997,225.149994,225.550003,225.550003,47482558
2018-02-15,227.500000,227.500000,224.300003,225.649994,225.649994,18660018
2018-02-16,227.100006,229.600006,225.699997,228.399994,228.399994,18929754
2018-02-19,228.899994,230.100006,226.149994,228.000000,228.000000,17325401
2018-02-20,228.600006,231.649994,228.300003,230.800003,230.800003,23499470
2018-02-21,233.000000,233.500000,230.550003,232.500000,232.500000,26132966
2018-02-22,231.649994,233.750000,230.050003,232.350006,232.350006,19981791
2018-02-23,237.000000,244.600006,236.500000,244.050003,244.050003,49032112
2018-02-26,245.350006,245.850006,242.000000,242.800003,242.800003,26285416
2018-02-27,242.850006,244.550003,240.899994,243.250000,243.250000,19998402
2018-02-28,241.199997,244.600006,239.600006,239.800003,239.800003,45653392
2018-03-01,239.800003,240.750000,238.250000,240.000000,240.000000,26667601
2018-03-02,238.899994,241.949997,235.000000,236.250000,236.250000,23468691
2018-03-05,236.350006,238.899994,235.699997,238.399994,238.399994,34096990
2018-03-06,240.149994,241.600006,237.250000,238.149994,238.149994,15409072
2018-03-07,237.699997,239.850006,237.199997,238.350006,238.350006,17395378
2018-03-08,238.899994,241.199997,238.500000,240.550003,240.550003,15280721
2018-03-09,240.250000,241.500000,238.149994,239.399994,239.399994,15525150
2018-03-12,240.500000,240.699997,234.500000,235.000000,235.000000,26557266
2018-03-13,235.699997,236.050003,226.300003,227.149994,227.149994,48400017
2018-03-14,226.000000,227.800003,224.649994,225.500000,225.500000,35935392
2018-03-15,226.050003,227.649994,224.199997,224.949997,224.949997,33437838
2018-03-16,224.600006,228.500000,224.350006,227.850006,227.850006,65377838
2018-03-19,227.600006,228.449997,224.500000,225.699997,225.699997,23998729
2018-03-20,226.449997,227.350006,222.649994,223.500000,223.500000,30779422
2018-03-21,223.699997,225.149994,221.149994,221.949997,221.949997,21104905
2018-03-22,220.500000,221.449997,216.399994,218.850006,218.850006,28537576
2018-03-23,217.250000,220.750000,217.250000,219.250000,219.250000,24769236
2018-03-26,219.449997,221.500000,216.899994,218.149994,218.149994,19128748
2018-03-27,221.100006,223.100006,219.600006,222.100006,222.100006,18755060
2018-03-28,220.550003,225.750000,219.800003,225.750000,225.750000,22178302
2018-03-29,226.649994,231.899994,226.100006,227.500000,227.500000,36834277
2018-04-03,225.350006,226.000000,222.750000,225.300003,225.300003,26639975
2018-04-04,225.550003,226.750000,224.399994,226.000000,226.000000,24196231
2018-04-05,229.600006,232.300003,227.600006,232.250000,232.250000,20327237
2018-04-06,232.199997,235.600006,231.300003,234.550003,234.550003,25656730
2018-04-09,235.449997,236.550003,234.100006,235.050003,235.050003,21961180
2018-04-10,236.100006,238.800003,235.500000,238.449997,238.449997,22487661
2018-04-11,238.500000,240.050003,237.949997,238.899994,238.899994,17445922
2018-04-12,239.300003,240.949997,238.050003,240.500000,240.500000,14354271
2018-04-13,241.199997,244.000000,239.850006,241.500000,241.500000,27018312
2018-04-16,241.300003,243.399994,239.300003,242.699997,242.699997,24443535
2018-04-17,242.949997,244.000000,242.250000,243.000000,243.000000,18616672
2018-04-18,242.850006,244.649994,241.699997,243.000000,243.000000,22970544
2018-04-19,242.649994,243.500000,239.750000,240.300003,240.300003,23067971
2018-04-20,240.000000,242.500000,239.500000,241.800003,241.800003,20598877
2018-04-23,241.750000,244.449997,240.600006,243.800003,243.800003,21622627
2018-04-24,244.000000,245.300003,239.800003,240.800003,240.800003,20230163
2018-04-25,239.000000,241.300003,238.800003,239.050003,239.050003,32739555
2018-04-26,240.350006,245.850006,239.050003,245.449997,245.449997,23989983
2018-04-27,246.000000,248.649994,243.949997,248.000000,248.000000,19989710
2018-04-30,248.699997,252.000000,248.649994,249.449997,249.449997,22377335
2018-05-01,249.949997,252.149994,244.300003,245.000000,245.000000,17777598
2018-05-02,244.899994,246.000000,241.949997,242.250000,242.250000,42101332
2018-05-03,239.850006,241.449997,231.300003,232.149994,232.149994,47067844
2018-05-04,233.649994,235.500000,233.300003,234.899994,234.899994,25205826
2018-05-08,235.250000,237.850006,234.850006,236.449997,236.449997,23663179
2018-05-09,236.850006,238.600006,233.649994,238.600006,238.600006,27504671
2018-05-10,220.000000,223.750000,214.800003,221.050003,221.050003,110049901
2018-05-11,219.500000,221.600006,216.750000,217.000000,217.000000,68489339
2018-05-14,217.000000,217.399994,210.350006,211.800003,211.800003,66639269
2018-05-15,210.949997,211.550003,206.550003,206.800003,206.800003,53408894
2018-05-16,206.000000,206.899994,202.100006,203.000000,203.000000,53312253
2018-05-17,202.149994,205.300003,201.250000,204.649994,204.649994,49794152
2018-05-18,204.600006,204.649994,202.649994,203.250000,203.250000,44528597
2018-05-21,205.000000,205.000000,202.149994,203.149994,203.149994,27758890
2018-05-22,203.550003,207.649994,203.449997,206.449997,206.449997,33699438
2018-05-23,206.000000,207.800003,205.500000,206.300003,206.300003,34934697
2018-05-24,206.300003,206.300003,202.550003,203.149994,203.149994,50317335
2018-05-25,208.000000,210.250000,205.100006,209.949997,209.949997,55779765
2018-05-29,210.949997,210.949997,204.100006,206.250000,206.250000,50345357
2018-05-30,206.149994,207.399994,203.750000,204.850006,204.850006,44031546
2018-05-31,206.350006,207.850006,203.449997,204.899994,204.899994,52032839
2018-06-01,206.500000,207.449997,205.350006,206.100006,206.100006,27161018
2018-06-04,207.399994,208.949997,206.750000,207.300003,207.300003,20554029
2018-06-05,206.899994,207.800003,205.800003,205.949997,205.949997,25984949
2018-06-06,206.850006,206.850006,203.699997,205.149994,205.149994,31909425
2018-06-07,207.500000,207.500000,201.850006,202.949997,202.949997,36597787
2018-06-08,206.600006,209.000000,201.550003,204.949997,204.949997,53345131
2018-06-11,206.800003,207.649994,203.500000,207.000000,207.000000,31426526
2018-06-12,208.949997,210.050003,207.649994,208.399994,208.399994,38325946
2018-06-13,209.199997,209.250000,204.949997,208.000000,208.000000,42878122
2018-06-14,207.050003,215.199997,206.500000,214.100006,214.100006,55361257
2018-06-15,212.850006,215.899994,209.899994,210.350006,210.350006,49186065
2018-06-18,210.250000,213.000000,207.699997,208.600006,208.600006,24055979
2018-06-19,207.649994,209.800003,206.250000,208.649994,208.649994,25906582
2018-06-20,213.000000,215.899994,210.250000,214.300003,214.300003,50812747
2018-06-21,215.399994,215.750000,213.449997,215.050003,215.050003,31974765
2018-06-22,215.699997,218.750000,215.600006,218.750000,218.750000,49765566
2018-06-25,218.000000,219.800003,216.500000,216.850006,216.850006,26754537
2018-06-26,217.399994,219.350006,214.250000,216.000000,216.000000,29771596
2018-06-27,215.750000,219.500000,215.649994,218.250000,218.250000,41824700
2018-06-28,216.899994,219.750000,215.699997,217.250000,217.250000,21346496
2018-06-29,218.800003,220.050003,217.100006,217.800003,217.800003,26445365
2018-07-02,216.550003,219.100006,216.050003,216.850006,216.850006,22847368
2018-07-03,217.000000,224.100006,216.800003,223.000000,223.000000,67931134
2018-07-04,222.649994,231.500000,220.449997,229.000000,229.000000,34485552
2018-07-05,229.149994,230.649994,227.449997,229.449997,229.449997,24780045
2018-07-06,230.000000,232.250000,229.100006,231.550003,231.550003,26133838
2018-07-09,232.699997,233.050003,229.300003,232.350006,232.350006,18671819
2018-07-10,232.449997,232.449997,226.449997,227.350006,227.350006,25894360
2018-07-11,226.750000,229.100006,226.199997,227.850006,227.850006,31016063
